abs_shift_x_mm,abs_shift_y_mm,z_mm
-0.1563137193282433,0.2084500797368146,3538.9796598866287
-0.15847116776508294,0.211327116382222,3537.7125708569524
-0.16068148625433687,0.21427465718227953,3536.4454818272757
-0.1628918047435908,0.21722219798233705,3535.178392797599
-0.16510613675949634,0.22017509096743726,3533.911303767922
-0.167373791343772,0.22319909155381706,3532.644214738246
-0.16964144592804845,0.2262230921401979,3531.377125708569
-0.17191320973618168,0.22925257252735556,3530.110036678893
-0.17423874071280632,0.23235375340636655,3528.8429476492165
-0.1765642716894317,0.23545493428537856,3527.5758586195398
-0.17889400814070403,0.2385617233191274,3526.308769589863
-0.18127794848742526,0.2417407952361505,3525.0416805601863
-0.1836618888341457,0.24491986715317252,3523.7745915305104
-0.18605013143955423,0.24810467629000124,3522.5075025008337
-0.1884930068367865,0.2513623402591559,3521.240413471157
-0.19093588223401875,0.2546200042283105,3519.97332444148
-0.19338315718698257,0.25788353516644896,3518.706235411804
-0.19588548604005743,0.26122048250026464,3517.439146382127
-0.19838781489313229,0.26455742983408026,3516.1720573524503
-0.20089464109183258,0.267900374543291,3514.9049683227736
-0.203456934553245,0.27131728688237344,3513.6378792930977
-0.2060192280146583,0.274734199221457,3512.370790263421
-0.20858611708437033,0.2781572399728157,3511.1037012337442
-0.21120887907602925,0.28165478931551896,3509.836612204068
-0.21383164106768907,0.2851523386582233,3508.569523174391
-0.21645909738312263,0.2886561480539106,3507.3024341447144
-0.21914282461859727,0.2922349967860031,3506.035345115038
-0.22182655185407102,0.2958138455180945,3504.768256085362
-0.2245150725617064,0.29939908652118163,3503.501167055685
-0.22726025456847235,0.30305988744551254,3502.234078026009
-0.23000543657523828,0.3067206883698434,3500.966988996332
-0.23275551161566232,0.3103880143340785,3499.6998999666557
-0.23556263075735223,0.3141314107002493,3498.432810936979
